Tiempo_s,Corriente_A,SoC,Voltaje_V,Temperatura_C,Potencia_W,C_rate,Calor_Generado_W,Energia_Wh
168,15.0,0.239999999999999,3.512999999999999,29.888418776323704,52.694999999999986,3.0,3.375,2.4006499999999997
169,15.0,0.24083333333333232,3.513999999999999,29.908796270571173,52.70999999999999,3.0,3.375,2.415291666666666
170,15.0,0.24166666666666564,3.514999999999999,29.929092529237394,52.72499999999998,3.0,3.375,2.4299374999999994
171,15.0,0.24249999999999897,3.5159999999999987,29.949307876170803,52.73999999999998,3.0,3.375,2.4445874999999995
172,15.0,0.2433333333333323,3.516999999999999,29.969442633928804,52.75499999999999,3.0,3.375,2.4592416666666663
173,15.0,0.24416666666666562,3.517999999999999,29.989497123782915,52.76999999999998,3.0,3.375,2.4738999999999995
174,15.0,0.24499999999999894,3.518999999999999,30.009471665723893,52.78499999999998,3.0,3.375,2.4885624999999996
175,15.0,0.24583333333333227,3.5199999999999987,30.029366578466846,52.79999999999998,3.0,3.375,2.5032291666666664
176,15.0,0.2466666666666656,3.5209999999999986,30.049182179456302,52.814999999999976,3.0,3.375,2.5178999999999996
177,15.0,0.24749999999999892,3.521999999999999,30.068918784871297,52.829999999999984,3.0,3.375,2.5325749999999996
178,15.0,0.24833333333333224,3.522999999999999,30.088576709630402,52.844999999999985,3.0,3.375,2.5472541666666664
179,15.0,0.24916666666666556,3.5239999999999987,30.108156267396758,52.85999999999998,3.0,3.375,2.5619374999999995
180,15.0,0.2499999999999989,3.5249999999999986,30.127657770583074,52.87499999999998,3.0,3.375,2.5766249999999995
181,15.0,0.25083333333333224,3.525999999999999,30.14708153035662,52.889999999999986,3.0,3.375,2.5913166666666663
182,15.0,0.2516666666666656,3.526999999999999,30.166427856644177,52.90499999999998,3.0,3.375,2.6060124999999994
183,15.0,0.25249999999999895,3.5279999999999987,30.185697058137002,52.91999999999998,3.0,3.375,2.6207124999999993
184,15.0,0.2533333333333323,3.528999999999999,30.20488944229574,52.93499999999999,3.0,3.375,2.635416666666666
